ProductID,ProductName,Category,UnitPrice,StockQuanity,StoreSection
2000,Electronics-Be,Electronics,969.31,300,C
2001,Electronics-Be,Clothing,412.35,150,A
2002,Office-Family,Clothing,866,250,A
2003,Electronics-Training,Clothing,385.18,100,A
2004,Office-Where,Home,927.25,200,B
2005,Office-Huge,Home,428.78,350,B
2006,Office-Class,Clothing,198,350,A
2007,Clothing-Over,Electronics,583.39,100,C
2008,Electronics-Skin,Home,66.59,50,B
2009,Office-Raise,Clothing,66.31,25,A
2010,Electronics-Themselves,Clothing,77.84,300,A
2011,Electronics-Religious,Clothing,409.74,75,A
2012,Clothing-Artist,Electronics,623.19,150,C
2013,Office-Cultural,Home,935.36,175,B
2014,Clothing-Eat,Home,246.3,25,B
2015,Office-Itself,Clothing,674.97,100,A
2016,Home-He,Office,323.02,150,D
2017,Electronics-Feeling,Electronics,463.7,175,C
2018,Electronics-Nature,Electronics,542.26,200,C
2019,Home-History,Clothing,933.93,275,A
2020,Electronics-Share,Clothing,375.83,250,A
2021,Clothing-Skill,Office,835.41,150,D
2022,Home-Economy,Electronics,671.18,100,C
2023,Home-Yeah,Electronics,939.54,150,C
2024,Clothing-Paper,Home,124.27,25,B
2025,Electronics-Assume,Clothing,279.62,50,A
2026,Clothing-Use,Home,211.56,75,B
2027,Home-Purpose,Office,258.61,75,D
2028,Electronics-Take,Electronics,637.94,100,C
2029,Home-Yourself,Electronics,13.51,200,C
2030,Clothing-First,Home,169.97,300,B
2031,Office-Develop,Office,565.3,325,D
2032,Electronics-There,Electronics,945.6,350,C
2033,Clothing-Argue,Electronics,836.25,250,C
2034,Clothing-Feel,Office,136.17,225,D
2035,Home-According,Home,899.99,225,B
2036,Electronics-Candidate,Home,217.98,100,B
2037,Clothing-Meeting,Electronics,360.14,125,C
2038,Office-Soon,Clothing,926.51,175,A
2039,Clothing-Need,Clothing,976.44,275,A
2040,Clothing-Determine,Office,34.54,225,D
2041,Home-Assume,Office,804.21,175,D
2042,Clothing-Lawyer,Home,167.61,150,B
2043,Electronics-Practice,Office,873.45,325,D
2044,Office-Society,Clothing,207.58,175,A
2045,Office-Next,Home,312.14,100,B
2046,Clothing-Worry,Clothing,33.43,75,A
2047,Clothing-Hair,Office,334.98,25,D
2048,Electronics-Candidate,Home,357.63,200,B
2049,Office-Easy,Home,939.84,25,B
2050,Electronics-Young,Home,186.78,50,B
2051,Home-Century,Electronics,117.32,50,C
2052,Office-Year,Home,731.26,75,B
2053,Home-Ground,Office,610.15,100,D
2054,Electronics-Above,Office,900.51,125,D
2055,Clothing-Politics,Home,53.94,150,B
2056,Office-About,Electronics,524.72,175,C
2057,Clothing-Identify,Home,436.98,200,B
2058,Home-Wear,Home,666.75,225,B
2059,Electronics-Clear,Home,512.05,250,B
2060,Office-Term,Home,408.38,275,B
2061,Home-Quite,Clothing,199.92,300,A
2062,Office-Receive,Clothing,619.36,325,A
2063,Home-Good,Office,552.46,350,D
2064,Electronics-Stop,Home,294.04,350,B
2065,Office-Animal,Home,470.34,325,B
2066,Office-Occur,Clothing,516.06,300,A
2067,Clothing-Remain,Electronics,290.95,275,C
2068,Home-Read,Electronics,820.24,250,C
2069,Clothing-Garden,Home,232.39,225,B
2070,Clothing-About,Clothing,34.18,200,A
2071,Clothing-Success,Office,615.16,175,D
2072,Electronics-Become,Office,420.3,150,D
2073,Clothing-Executive,Office,499.43,125,D
2074,Clothing-Strong,Clothing,659.5,100,A
2075,Electronics-Letter,Electronics,780.64,75,C
2076,Clothing-Affect,Clothing,806.07,50,A
2077,Office-Ball,Electronics,561.83,25,C
2078,Electronics-Film,Office,142.01,25,D
2079,Office-Who,Home,950.54,50,B
2080,Office-Doctor,Office,832.26,150,D
2081,Office-Light,Clothing,746.22,300,A
2082,Office-Figure,Office,266.6,25,D
2083,Clothing-Cut,Home,768.16,225,B
2084,Office-Stuff,Clothing,281.85,200,A
2085,Electronics-Officer,Home,242.15,275,B
2086,Home-Of,Home,894.1,125,B
2087,Electronics-Rather,Clothing,159.32,175,A
2088,Office-Evening,Clothing,709.35,350,A
2089,Electronics-Action,Office,413.52,325,D
2090,Office-Staff,Office,71.64,275,D
2091,Office-Mrs,Office,905.79,100,D
2092,Electronics-Add,Office,482.21,75,D
2093,Home-Real,Home,755.94,25,B
2094,Office-Fight,Clothing,493.35,50,A
2095,Home-Seem,Office,490.79,125,D
2096,Office-Discuss,Home,672.18,175,B
2097,Office-Recent,Clothing,842.1,350,A
2098,Clothing-Trouble,Electronics,907.86,325,C
2099,Electronics-Several,Electronics,646.32,250,C
